,INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,INPATHMD5,DATETIME,DAY,5_DAY,SECONDS,LUCOMAGNO,RIEDERALP,TO_INCLUDE,DEVICE,COORDX,COORDY,LATITUDE,LONGITUDE,CALL_1,CALL_2,CALL_3,CALL_4,FEMALE,INDIVIDUALS
909,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3380.3093259999996,1.8986669999999999,890.625,1016.4739999999999,1171.875,2020-04-17,05:30:20.309,5,cluster.33,0.26729,cluster.06,1.350536,cluster.09,1.3573709999999999,1,Lagmut_call2,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:30:20.309,17,15,19820.309,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,0,1,0,0,0,1
912,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3382.2080079999996,1.7280000000000002,914.063,1044.0339999999999,1148.438,2020-04-17,05:30:22.207,5,cluster.33,1.090806,cluster.28,1.271407,cluster.29,1.306291,1,Lagmut_call2,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:30:22.207,17,15,19822.207,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,0,1,0,0,0,1
398,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3473.2373049999997,1.621333,937.5,1131.348,1500.0,2020-04-17,05:31:53.237,5,cluster.33,0.886791,cluster.18,1.317576,cluster.31,1.339668,1,Lagmut_call3,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:31:53.237,17,15,19913.237,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,0,0,1,0,0,1
911,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3507.498779,1.706667,867.188,1044.922,1429.6879999999999,2020-04-17,05:32:27.498,5,cluster.33,1.059376,cluster.31,1.338633,cluster.27,1.3436290000000002,1,Lagmut_call2,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:32:27.498,17,15,19947.498,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,0,1,0,0,0,1
908,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3523.9892579999996,2.112,914.063,1026.855,1171.875,2020-04-17,05:32:43.988,5,cluster.33,0.265861,cluster.06,1.350188,cluster.09,1.354422,1,Lagmut_call2,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:32:43.988,17,15,19963.988,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,0,1,0,0,0,1
910,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3539.3706049999996,2.4106669999999997,914.063,1088.17,1429.6879999999999,2020-04-17,05:32:59.369,5,cluster.33,0.838887,cluster.18,1.29324,cluster.24,1.3392950000000001,1,Lagmut_call2,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:32:59.369,17,15,19979.369,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,0,1,0,0,0,1
1301,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3551.786621,1.7919999999999998,937.5,1119.141,1640.625,2020-04-17,05:33:11.785,5,cluster.33,1.142024,cluster.18,1.3128870000000001,cluster.25,1.337543,1,Lagmut_call1,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:33:11.785,17,15,19991.785,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,1,0,0,0,0,1
1368,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3559.594727,1.7919999999999998,890.625,1066.761,1171.875,2020-04-17,05:33:19.594,5,cluster.33,1.031463,cluster.18,1.152136,cluster.24,1.310726,1,Lagmut_2calls_1-1,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:33:19.594,17,15,19999.594,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,2,0,0,0,0,2
1300,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3564.6293950000004,1.8986669999999999,1148.438,1324.219,1429.6879999999999,2020-04-17,05:33:24.629,5,cluster.31,1.254874,cluster.32,1.2775729999999998,cluster.26,1.31384,1,Lagmut_call1,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:33:24.629,17,15,20004.629,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,1,0,0,0,0,1
1302,D:\LAGMUT2020,Lucomagno\LM1_TI_703115-157067\Sostituzione1_16.04-03.05.2020\Data,LM1-ALKALINE_20200417_043400.wav,0,3568.3625490000004,1.621333,1171.875,1317.9089999999999,1500.0,2020-04-17,05:33:28.361,5,cluster.15,0.907733,cluster.27,1.308534,cluster.31,1.31321,1,Lagmut_call1,5e0XmfZ8HC4qGQD3GZdgkg==,2020-04-17 05:33:28.361,17,15,20008.361,True,False,True,LM1,703115,157067,46.556933591751346,8.783365195811234,1,0,0,0,0,1
