INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LAGMUT2020,Riederalp\LM6_VS_648769-140119\0418_0503\Data,LM6_20200426_055200.wav,0,478.997345,1.813333,1242.188,1473.805,1734.375,2020-04-26,05:59:58.996,5,2020-04-25,17:59:58.996,17,cluster.21,1.122684,cluster.20,1.168802,cluster.24,1.225011,1,Lagmut_female,,,,,xx7dCSnbinFWIserUKfq9w==
D:\LAGMUT2020,Riederalp\LM4_VS_647858-139202\0516_0523\Data,LM4_20200517_053000.wav,0,2149.717285,1.365333,1312.5,1606.37,1992.188,2020-05-17,06:05:49.716,6,2020-05-16,18:05:49.716,18,cluster.17,1.127526,cluster.21,1.267327,cluster.20,1.270363,1,Lagmut_female,,,,,/7+pYjEkvM9jqP6zwepJig==
D:\LAGMUT2020,Riederalp\LM4_VS_647858-139202\0516_0523\Data,LM4_20200517_061939.wav,0,3593.386719,1.386667,1546.875,1724.609,1992.188,2020-05-17,07:19:32.386,7,2020-05-16,19:19:32.386,19,cluster.13,1.143909,cluster.14,1.163343,cluster.15,1.224977,1,Lagmut_female,,,,,BrqsjTVoPdfW7L+7z5bB7Q==
D:\LAGMUT2020,Riederalp\LM4_VS_647858-139202\0418_0516\Data,LM4_20200515_083001.wav,0,3481.386719,1.792,796.875,1201.172,1617.188,2020-05-15,09:28:02.386,9,2020-05-14,21:28:02.386,21,cluster.18,1.327446,cluster.24,1.344302,cluster.11,1.349476,1,Lagmut_female,,,,,6NmIUKjn1kNiTkVwK0JJsQ==
D:\LAGMUT2020,Riederalp\LM4_VS_647858-139202\0418_0516\Data,LM4_20200515_083001.wav,0,3507.669434,1.834667,796.875,1204.241,1664.063,2020-05-15,09:28:28.669,9,2020-05-14,21:28:28.669,21,cluster.18,1.330668,cluster.17,1.33442,cluster.31,1.342601,1,Lagmut_female,,,,,6NmIUKjn1kNiTkVwK0JJsQ==
D:\LAGMUT2020,Lucomagno\LM3_TI_702929-156055\Sostituzione1_16.04-03.05.2020\Data,LM3-ALKALINE_20200418_053202.wav,0,1057.877319,2.368,1171.875,1335.938,1500,2020-04-18,05:49:39.877,5,2020-04-17,17:49:39.877,17,cluster.23,1.286904,cluster.22,1.291735,cluster.25,1.297764,1,Lagmut_female,,,,,TEdZzawHYjBT3Hs81KBvFw==
D:\LAGMUT2020,Lucomagno\LM3_TI_702929-156055\Sostituzione1_16.04-03.05.2020\Data,LM3-ALKALINE_20200418_053202.wav,0,995.242676,2.197333,1148.438,1392.428,1898.438,2020-04-18,05:48:37.241,5,2020-04-17,17:48:37.241,17,cluster.26,1.019632,cluster.31,1.197853,cluster.30,1.284173,1,Lagmut_female,,,,,TEdZzawHYjBT3Hs81KBvFw==
D:\LAGMUT2020,Lucomagno\LM2_TI_702740-156357\Sostituzione1_16.04-03.05.2020\Data,LM2-ION_20200419_083002.wav,0,1146.581299,2.816,796.875,886.489,1992.188,2020-04-19,08:49:08.580,8,2020-04-18,20:49:08.580,20,cluster.09,1.105294,cluster.00,1.229842,cluster.07,1.250721,1,Lagmut_female,,,,,YBR8O+MAX43r6TX/Hv8Hng==
D:\LAGMUT2020,Lucomagno\LM2_TI_702740-156357\Sostituzione1_16.04-03.05.2020\Data,LM2-ION_20200419_083002.wav,0,1159.040039,1.877333,796.875,1143.111,1382.813,2020-04-19,08:49:21.039,8,2020-04-18,20:49:21.039,20,cluster.09,1.1126,cluster.00,1.276825,cluster.06,1.300745,1,Lagmut_female,,,,,YBR8O+MAX43r6TX/Hv8Hng==
D:\LAGMUT2020,Lucomagno\LM2_TI_702740-156357\Sostituzione1_16.04-03.05.2020\Data,LM2-ION_20200425_052002.wav,0,2187.669434,1.642667,914.063,1214.063,1476.563,2020-04-25,05:56:29.669,5,2020-04-24,17:56:29.669,17,cluster.27,1.238142,cluster.30,1.295127,cluster.28,1.297033,1,Lagmut_female,,,,,6yGWmtjz+sN3rcPWYZXLKw==
