INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3291.029297,0.170667,562.5,890.625,1125,2020-05-06,07:57:53.029,7,2020-05-05,19:57:53.029,19,cluster.12,0.924927,cluster.13,0.960305,cluster.28,1.12126,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200508_060002.wav,0,2680.23999,0.277333,562.5,937.5,1125,2020-05-08,06:44:42.240,6,2020-05-07,18:44:42.240,18,cluster.17,0.590006,cluster.08,1.038306,cluster.07,1.045413,1,Lyrtet_female,,,,,558SMM4MssJ22WN8Dv4pPA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3344.736084,2.562667,562.5,769.397,1125,2020-05-06,07:58:46.734,7,2020-05-05,19:58:46.734,19,cluster.21,0.664708,cluster.22,0.685308,cluster.23,0.906182,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3350.464111,0.104,562.5,807.692,1125,2020-05-06,07:58:52.463,7,2020-05-05,19:58:52.463,19,cluster.21,0.969202,cluster.22,0.977109,cluster.23,1.131161,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_060302.wav,0,3589.373291,0.474667,562.5,1044.643,1125,2020-05-06,07:02:51.372,7,2020-05-05,19:02:51.372,19,cluster.22,0.453119,cluster.23,0.631405,cluster.21,0.84063,1,Lyrtet_female,,,,,cihJXQj5dZ/UGBnpTte8tQ==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,2070.02124,0.418667,562.5,1125,1125,2020-05-06,07:37:32.021,7,2020-05-05,19:37:32.021,19,cluster.22,0.527709,cluster.23,0.621153,cluster.21,0.841917,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3268.106689,0.117333,562.5,671.875,937.5,2020-05-06,07:57:30.106,7,2020-05-05,19:57:30.106,19,cluster.22,0.694467,cluster.21,0.837714,cluster.23,0.878925,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3316.266602,0.456,562.5,857.143,1125,2020-05-06,07:58:18.265,7,2020-05-05,19:58:18.265,19,cluster.22,0.745049,cluster.23,0.807007,cluster.21,0.958102,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1568.309326,2.208,562.5,1028.226,1125,2020-05-06,07:29:10.308,7,2020-05-05,19:29:10.308,19,cluster.22,1.110472,cluster.23,1.119472,cluster.27,1.153653,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3269.991943,0.952,562.5,900,1125,2020-05-06,07:57:31.992,7,2020-05-05,19:57:31.992,19,cluster.23,0.781848,cluster.24,0.862143,cluster.22,0.918153,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
