INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200514_063000.wav,0,51.903999,2.24,398.438,536.979,773.438,2020-05-14,06:30:51.904,6,2020-05-13,18:30:51.904,18,cluster.5,0.2568,cluster.4,0.773997,cluster.1,1.349105,1,Lyrtet_rugolio,,,,,KNlEKcPv3CE6HnyrJ/27eg==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200514_053000.wav,0,1195.349365,2.133333,398.438,540.082,750,2020-05-14,05:49:55.348,5,2020-05-13,17:49:55.348,17,cluster.5,0.295755,cluster.4,0.854658,cluster.2,1.368077,1,Lyrtet_rugolio,,,,,bRkGwq+VUnNeoieYenLDYg==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200515_053000.wav,0,1582.570679,2.24,398.438,523.996,796.875,2020-05-15,05:56:22.570,5,2020-05-14,17:56:22.570,17,cluster.5,0.302291,cluster.4,0.909913,cluster.1,1.350439,1,Lyrtet_rugolio,,,,,fyoCGrFOO0/urhldTQaeUg==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200427_073001.wav,0,1340.287964,2.56,398.438,522.372,750,2020-04-27,07:52:21.288,7,2020-04-26,19:52:21.288,19,cluster.5,0.323853,cluster.4,0.865288,cluster.1,1.367623,1,Lyrtet_rugolio,,,,,20m5AHcjE89Kdit5Fzge1w==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200514_063000.wav,0,179.733337,2.432,445.313,540.625,773.438,2020-05-14,06:32:59.732,6,2020-05-13,18:32:59.732,18,cluster.5,0.337474,cluster.4,0.751276,cluster.1,1.373269,1,Lyrtet_rugolio,,,,,KNlEKcPv3CE6HnyrJ/27eg==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200424_063000.wav,0,1765.482666,5.12,398.438,522.296,750,2020-04-24,06:59:25.481,6,2020-04-23,18:59:25.481,18,cluster.5,0.416801,cluster.4,0.632705,cluster.1,1.365662,1,Lyrtet_rugolio,,,,,0qJD09bcPrwgAypVJwEUQA==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200420_073001.wav,0,2865.365234,2.453333,398.438,528.169,773.438,2020-04-20,08:17:46.365,8,2020-04-19,20:17:46.365,20,cluster.5,0.451775,cluster.4,0.730489,cluster.1,1.366244,1,Lyrtet_rugolio,,,,,65/MBYzDu6Ypt7+4nCIoPA==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200430_053000.wav,0,3357.482666,2.517333,398.438,524.346,796.875,2020-04-30,06:25:57.481,6,2020-04-29,18:25:57.481,18,cluster.5,0.452742,cluster.4,0.753462,cluster.1,1.372736,1,Lyrtet_rugolio,,,,,Fbrr+dho0tJlFTbE6JmrGQ==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200420_073001.wav,0,2731.925293,2.432,398.438,536.328,773.438,2020-04-20,08:15:32.924,8,2020-04-19,20:15:32.924,20,cluster.5,0.473952,cluster.4,0.701663,cluster.1,1.373109,1,Lyrtet_rugolio,,,,,65/MBYzDu6Ypt7+4nCIoPA==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200426_063000.wav,0,1064.618652,2.410667,398.438,542.969,726.563,2020-04-26,06:47:44.618,6,2020-04-25,18:47:44.618,18,cluster.5,0.481295,cluster.4,0.787879,cluster.1,1.358796,1,Lyrtet_rugolio,,,,,vScuqSaGH8KFUCfdWDA8cg==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200423_063000.wav,0,2549.73877,2.069333,398.438,529.762,796.875,2020-04-23,07:12:29.737,7,2020-04-22,19:12:29.737,19,cluster.5,0.484959,cluster.4,1.036752,cluster.1,1.342371,1,Lyrtet_rugolio,,,,,BkBsnZ1CSUpjMR2ksLr12Q==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200511_093001.wav,0,1673.109375,2.944,398.438,544.324,773.438,2020-05-11,09:57:54.109,9,2020-05-10,21:57:54.109,21,cluster.5,0.50831,cluster.4,0.781594,cluster.1,1.321842,1,Lyrtet_rugolio,,,,,Vs+fUC/WGQK9mG5eqnIzdw==
